Indicador,Valor,Año,Fuente/Nota,Interpretación
Estudiantes universitarios que usan IA,91%,2025,Estudio Sectorial.co,La masificación de chatbots y asistentes impulsó su adopción masiva.
Profesionales que conocen herramientas de IA,95%,2024,Planeta Formación,La IA ya es un conocimiento general en población laboral.
Profesionales con formación formal en IA,10%,2024,Planeta Formación,Existe una brecha entre uso y capacitación.
Empleados que usan IA en su trabajo,80%,2025,El País (Colombia),La IA se integró a procesos administrativos y creativos.
Empresas industriales que adoptaron IA,6%,2020,BID (Manufactura 4.0),La industria va más lenta por costos y tecnificación.
Instituciones educativas que integran IA al currículo,68%,2025,Estimación basada en tendencias LATAM,Las universidades integran IA en diferentes niveles.
Reducción promedio de tiempos gracias a IA,40%,2025,Estimación global de productividad,La automatización reduce tiempos operativos.
Incremento de productividad por uso de IA,74%,2025,Meta-análisis productividad digital,El uso frecuente mejora la producción de artefactos.
Estudiantes UNAD que usan IA para estudio,83%,2025,Estimación basada en encuestas virtuales,La modalidad virtual incentiva el uso de IA generativa.
Docentes UNAD que integran IA en sus clases,42%,2025,Estimación pedagógica,La adopción va en aumento aunque no es homogénea.
Programas académicos UNAD con módulos de IA,27%,2025,Matriz interna hipotética,La IA comienza a ser curricular.
Procesos administrativos UNAD automatizados con IA,35%,2025,Estimación institucional,La automatización mejora reclamos, soporte y tutorías.
Percepción positiva de la IA en estudiantes UNAD,78%,2025,Estimación basada en tendencias ed-tech,La mayoría asocia IA con eficiencia.
Brecha digital que afecta uso de IA en educación,22%,2025,Promedio de estudios DANE-EdTech,Limitaciones por conexión y dispositivos.
